,team,actual_wins,actual_losses,actual_percentage,predicted_wins,predicted_losses,predicted_percentage,predicted_win_amt,predicted_loss_amt,pred_win_loss_diff,hard_fought_win,hard_fought_loss,lucky_win,tough_loss,win_bad_game,loss_bad_game,expected_win,expected_loss,tough_games,easy_games,won_tough_game,loss_tough_game,won_easy_game,loss_easy_game,difficulty_score
0,49ers,156,180,0.8666666666666667,164,172,0.9534883720930233,26,18,8,18,19,6,7,12,23,120,131,174,162,24,150,132,30,12
1,Bears,156,173,0.9017341040462428,141,188,0.75,27,42,-15,14,17,8,10,34,24,100,122,161,168,22,139,134,34,-7
2,Bengals,152,176,0.8636363636363636,162,166,0.9759036144578314,27,17,10,20,22,4,5,13,20,115,129,175,153,24,151,128,25,22
3,Bills,153,175,0.8742857142857143,163,165,0.9878787878787879,29,19,10,19,18,5,11,14,16,115,130,172,156,24,148,129,27,16
4,Broncos,182,153,1.1895424836601307,188,147,1.2789115646258504,34,28,6,21,23,9,11,19,13,133,106,159,176,30,129,152,24,-17
5,Browns,109,214,0.5093457943925234,124,199,0.6231155778894473,36,21,15,13,21,7,15,14,18,75,160,201,122,20,181,89,33,79
6,Buccaneers,151,180,0.8388888888888889,146,185,0.7891891891891892,25,30,-5,14,19,7,6,23,22,107,133,173,158,21,152,130,28,15
7,Cardinals,151,178,0.848314606741573,134,195,0.6871794871794872,18,35,-17,12,8,8,10,27,20,104,140,168,161,20,148,131,30,7
8,Chargers,177,156,1.1346153846153846,176,157,1.1210191082802548,30,31,-1,16,15,15,15,16,22,130,104,150,183,31,119,146,37,-33
9,Chiefs,188,152,1.236842105263158,186,154,1.2077922077922079,41,43,-2,23,23,11,18,32,12,122,99,156,184,34,122,154,30,-28
10,Colts,214,133,1.6090225563909775,200,147,1.3605442176870748,23,37,-14,44,18,21,5,16,7,133,103,186,161,65,121,149,12,25
11,Cowboys,179,152,1.1776315789473684,178,153,1.1633986928104576,29,30,-1,27,21,10,8,20,25,122,98,156,175,37,119,142,33,-19
12,Dolphins,146,177,0.8248587570621468,131,192,0.6822916666666666,15,30,-15,17,10,11,5,19,20,99,142,180,143,28,152,118,25,37
13,Eagles,192,149,1.2885906040268456,168,173,0.9710982658959537,20,44,-24,22,17,9,3,35,21,126,108,156,185,31,125,161,24,-29
14,Falcons,169,164,1.0304878048780488,173,160,1.08125,30,26,4,16,24,11,6,15,20,127,114,165,168,27,138,142,26,-3
15,Giants,157,177,0.8870056497175142,156,178,0.8764044943820225,28,29,-1,19,18,6,10,23,21,109,128,171,163,25,146,132,31,8
16,Jaguars,121,206,0.587378640776699,143,184,0.7771739130434783,39,17,22,12,31,9,8,8,14,92,153,205,122,21,184,100,22,83
17,Jets,141,191,0.7382198952879581,159,173,0.9190751445086706,33,15,18,18,24,6,9,9,19,108,139,187,145,24,163,117,28,42
18,Lions,111,211,0.5260663507109005,111,211,0.5260663507109005,27,27,0,15,18,7,9,20,39,69,145,185,137,22,163,89,48,48
19,Packers,215,131,1.6412213740458015,180,166,1.0843373493975903,14,49,-35,23,8,8,6,41,19,143,98,137,209,31,106,184,25,-72
20,Panthers,167,167,1.0,171,163,1.049079754601227,24,20,4,17,16,3,8,17,24,130,119,155,179,20,135,147,32,-24
21,Patriots,265,95,2.789473684210526,241,119,2.0252100840336134,23,47,-24,35,17,20,6,27,9,183,63,135,225,55,80,210,15,-90
22,Raiders,123,203,0.6059113300492611,119,207,0.5748792270531401,25,29,-4,11,16,14,9,15,22,83,156,197,129,25,172,98,31,68
23,Rams,150,183,0.819672131147541,147,186,0.7903225806451613,23,26,-3,15,14,8,9,18,14,109,146,183,150,23,160,127,23,33
24,Ravens,198,144,1.375,202,140,1.4428571428571428,22,18,4,21,13,7,9,11,30,159,92,133,209,28,105,170,39,-76
25,Saints,196,142,1.380281690140845,184,154,1.1948051948051948,21,33,-12,20,20,12,1,21,14,143,107,159,179,32,127,164,15,-20
26,Seahawks,200,147,1.3605442176870748,209,138,1.5144927536231885,31,22,9,27,24,6,7,16,12,151,104,161,186,33,128,167,19,-25
27,Steelers,217,125,1.736,186,156,1.1923076923076923,14,45,-31,14,7,7,7,38,20,158,91,119,223,21,98,196,27,-104
28,Texans,143,188,0.7606382978723404,175,156,1.1217948717948718,47,15,32,15,39,3,8,12,17,113,124,181,150,18,163,125,25,31
29,Titans,168,166,1.0120481927710843,176,158,1.1139240506329113,29,21,8,21,19,6,10,15,20,126,117,163,171,27,136,141,30,-8
30,Vikings,168,162,1.037037037037037,185,145,1.2758620689655173,34,17,17,19,22,4,12,13,26,132,102,147,183,23,124,145,38,-36
31,Washington,130,195,0.6666666666666666,148,177,0.8361581920903954,35,17,18,10,27,3,8,14,24,103,136,176,149,13,163,117,32,27
